text,target
"Right, today's jobs are these: 1. Finish Student Finance 2. Jobwork 3. Typography project re-do 4. Jobwork 5. Finish and sleep.  Sun?",negative
not again ,negative
i cant sleep and rex cant text anymore ,negative
Went to a bbq at Janet's.   Out of the nuggets loop but think they lost due to facebook comments. ,negative
@angielala Just messing wit u chica ,positive
"@yannx Entrep tomorrow or what? Yeah I know I'm not even started on SEFest yet, wtf. I hope I get better by tomorrow. I can't taste anyth ",negative
i miss my mommy ,negative
@MintyVanilla probly gonna arrive about 1am/2am thursday morning as am working wednesday ,negative
"@rickedwards1 Anytime, at least you could go out, i'm stuck inside with broken toes + revision.  ",negative
"Feeling yuck, missing church for 2nd week running ",negative
OMG i just slipped down 3stairs at @iTS_URS house  and i hurt myself! I'm not even drunk! Totally sober!!!! http://mypict.me/2TmN,negative
"Jakob Sveistrup concert friday, next week!! ",positive
Had fun hanging out with some old childhood friends and celebrating his dad's b-day. ,positive
@langfordperry ok.. let's focus! ,positive
patrick watson was great ,positive
"First night in my new place. Will see M tomorrow, but feel overwhelming, soul-crushing loneliness. Have no interest in sleeping alone. ",negative
"@johnnydepalma ok that sounds odd but whatever she likes is the goal i guess, keep em happy ",positive
"Off to Houston to see friends, clients, associates and spread some J. Hilburn LUV    www.jhilburn.com",positive
Walked the dog. Now I'm drinking tea and wondering if I should go to church today.  Not quite 100% yet. ,negative
it feels good being on summer vacation! ,positive
@Stars_Meg thanks! and aww meg that's a downer  you can come visit us! I'll find you an extra GL shirt haha,negative
@maxismyname Thanks xxx Glad you liked it   Naughty enough? ,positive
Anyone either go to Griffith Uni Southbank Campus or know people that do? Message me if so for a ... unique opportunity ,positive
Sad face for Jacquiline and Jody.  #toughlove,negative
cleaning house   I need a maid instead...,negative
@angeljones i can leave whenever ur ready! I just dont know where u wanna meet n stuffff ,positive
"Ok, so my first yoga sock is almost done... but I tried it on &amp; it's definitely TOO BIG. Booooo. I like my socks more fitted than that. ",negative
morning  *looks at clock* yep still morning :p,positive
"@JennHarding haha-was only joking polabear! n I know Ill always B ur aunty  crazy schedule this week, but maybe next weekend?",positive
I just grabbed by mistake a plastic bag with dog poop and it was covered in flies.. DISGUSTING!  :$,negative
another busy day ahead shuttling riders up the mountain on the IDERIDE shuttle bus ,positive
@brunoyb We're only shipping within the US ,negative
"@Lee_bandoni Ok, see you at da climbing ",positive
@brittanytran Magic is on Aug 31st - Sept 2nd.  Are you going? ,positive
the Red Sox rocked it today! ,positive
Twenty four hours isn't very long ,negative
is sooooooooo sore...like everywhere hurts ,negative
"@JessicaViberg ooh birthdayparty  then you're going to eat cake, JEALOUS !",positive
@JBnVFCLover786 haha i know ,positive
ohh s**t... drop by 2  94. blogratings.com,negative
my lil man geta a 1st place little league trophy today so proud of my lil baseball man  soccer next booyah!,positive
@NikkiMcLeod You're right Nikki.  Zoe's course was brilliant ,positive
"@thecraigmorris I am 100% sure your right, but you wouldn't be able to persuade @moonflowerchild that it is ",negative
@wizbiff hey Elizabeth ,positive
"@sarahhummel oh noooo!!! we'll figure something out! oh dear, the wisdom teeth sound like a drag ",negative
at nyc south sea port...Shopping ,positive
I like the Google Tetris logo ,positive
At laurens house (: watching SUPERSTAR. someone make plans with me tommorrow  im dowwwwwn.,positive
@donaji23 hey can we still mk tostones ?  .please,negative
Nose is completely stuffed and throat is sore and kinda itchy. Pretty sure I'm sick. ,negative
@binged love the Twitter handle.   Is  this intended to provide support for all Bing addicts.  I feel like binging on #Bing. ,positive
sorta sad that i cant really stay up late with @ashleepham anymore because some stuff fixed my sleep cycle. ,negative
i hate being a female .. js ! ,positive
studying business  the best subject i took this year. ,positive
@fromblueskies ESPN bought the football from Setanta ,negative
"@bhaugh Hrm, happy &quot;10,000 days old&quot; day? ",positive
I think this brilliant performance summarizes my thoughts quite well http://bit.ly/3YTXw  (thanks @lifo ,positive
feeling groggy this  morning. need sleep but have a lot of work to do. ,negative
I hate flatpack furniture ,negative
right I am off to the hospital  seeya later ,positive
@mrskutcher I would like some followers pretty please! I'm new to twitter and only have 2!!!! ,negative
missing my booooyyy..  where art thou?,negative
is in need of cheering up  ,negative
@kativaan do you intend to merge rapos with your Opac or do u mean u are considering them separately? Hmm i'd love to hear more ,positive
OH AND I HATE TRAINS. ,negative
whoop maybe not. bk in bed with a frozen back ,negative
"@BarbieBibiana jus waking up with like a WHOLE BED of clothes to fold up, so i guess im occupied for the next hour ",negative
is tired but have to do her geo presentation ,negative
@styleit did you get that Gelife mani done at Dashing Diva? Mine started falling off in a few days ,negative
BOOK NOW &amp; SAVE:SUMMER 2009 * THE AMAZONES VILLAGE SUITES****-CRETE-GREECE! THE BEST PLACE TO BE! ,positive
i love paint  i love it even more when you're wasting time with it when you're supposed to be learning an essay.,positive
@ FishCreekPark late night BBQ and smores! YUM! ,positive
is playing on halo 3 ,positive
working on this sunny day ,negative
Avril Lavigne - Keep Holding On....love it   â« http://blip.fm/~89psj,positive
@NickJoyce_16 thanks a bunch ,positive
"@mc_orion had a few recommendations for The Inbetweeners, never even heard of it but will check it out for sure thanks ",positive
@Ariesfly23 Ugh. ,negative
lookin forward to the day i have enough energy to stay up past 10:30 on a fri nite.  not since 2007   will i ever have those days again?,negative
Watching naruto and josh stole my fruit snacks ,negative
"@atkailash Awesome, thanks! I will be checking this out soon! (re: glasses) ",positive
The MacOS recovery DVD for my 17&quot; powerbook is 10.3 ,positive
Holiday in Italy!!! ,positive
"@thescoobygang I'm gonna send all my Buffy related tweets to you so that everyone else doesn't have to get spammed, mkay? ",positive
f u anyway @durience253 u didnt even wanna play light as a feather stiff as a board w me!! ,negative
going out. ,positive
Going to chrio then for blood work blah I hate being sick I've felt gross for the last month ,negative
@abbiesanjuan  Wow! Eeep! ) Wonder whats Justin &quot;Puke&quot; Gaston's reaction,positive
"@sendchocolate you are right, it is.. ,i love horror movies and have probably seen it.. wifey on the other hand has banned scifi  channel ",negative
currently drowning myself in the sounds of Surfer Blood. Album review will be posted very soon ,positive
@Mr_LasVegas Awwww ur sooo sweet!  ,positive
yay no more taking notes  finally,positive
"new moon trailer! YAYAYA- Taylor Lautner is H O T  and if i married him, i'd be Mrs Taylor Lautner ",positive
Its pourin wit rain... N my clean car is parked out in it ,negative
@spyn Yeah they are quite uncommon. I only know of them thanks to Gran Turismo ,positive
@likeomgitserika haha. Yup! I had to find the strongest cologne after watching SAW 5. LOL.  Scents sorta affect the unconscious. ,positive
"@challyzatb you too, cher ",positive
is still lost and confused.  just give me a sign.  any sign please... ,negative
driving back home  Raging Waters was the shit,negative
"just received sad news. Pappy, our old dog, died last night. Rest in peace, Pappy. ",negative
its 1 am and I havent heard from her. not even a Tweet ,negative
yay! I'm leaving for Dallas! @cutekiwi you are still invited! ,positive
@tomtpc Thanks t  I like taking them but I'm not one for my own pics,positive
"ah one draw back from being in the UK, is missing the buzz around the State of Origin series. I see Queensland beat NSW 28-18. Not good. ",negative
"it's Friday ,,,, looks like a goodie ",positive
"Whos good at translating Japanese? Need someone to translate a sentence for me, Google is doing fuck all for me ",negative
@beccahzuazua what happened becky?? ,negative
Just walked Snuggles ,positive
@lilyroseallen http://twitpic.com/5dgty - Cuuute!  Have a nice trip Lil!,positive
@RudeBoy28 Remember me? ,positive
@schmunk42 welcome on twitter ,positive
@mychalbarr Thas what's up... I would go out but my car won't be done til tomorrow or mon ,negative
Stormy mood makes for upset stomach. Do not wish to say hello to my dinner a second time. ,negative
can't stand the fact I lost the chanced to meet my boys  sad xx,negative
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,positive
I think I may be sun burnt... ,negative
I have a weird tickley cough ,negative
RELAY! I'm coming ,positive
Workkkkkk  come visit,negative
I am excited that Tracy liked her Lyme Bracelet and Earrings! ,positive
Came back from Mass..... now im tired...! ,positive
"@Paulaztnew I've been trying to learn that dance since the dawn of time, practically. I'm just too white. ",negative
"Woot!!! Lich King is installed! Starting WoW at 12:15am. Crumbs!!! Bye, Tweeters. ",positive
cuppa coffee and some toast will go down reet nicely ,positive
@jsi5 http://twitpic.com/7rrf7 - Looks like an spider bite...I had that happen on my elbow and it was the itchiest thing ever! ,negative
@theDebbyRyan I friended/am friends with you already  Love reading you tweets and updates - they're quite comical at times :L,positive
@amytheallen no... 19  I'd assume they'd check if I actually DID win something,negative
"Nice... Alicia got home, and turned on the Xbox by herself. ",positive
I think I start loving FriendFeed  http://ff.im/422Be,positive
on my way to work.  ihop tonight with ezelle!,negative
"if we could import american &quot;service culture&quot; to europe, we would live in utopia ",positive
Back from watching the #raceforlife in glorious sunshine! It's boiling!! Prepping the BBQ for meatfeast ,positive
At work and missing someone very special ,negative
That is what inspires me when out camping.... ,positive
@zemote I loved your photo of using the half pipe  Looks like an excellent way to spend the afternoon although I'd be on the bottom,positive
The hottest weather is predicted in Berkshire today  (plus West Country and Port Solent) - http://ow.ly/akEN Makes a nice change!,positive
@JayistheRealest Aww thanks babe ,positive
@chela522: hugs to you!! ,positive
hate hate hate hate hate hate Norwegian. Exam on Tuesday. Dont wanna ,negative
It are mimi time ,positive
@mlmblonde @BrendanWenzel snoopy the cartoon dog! I think that my posts hypnotically make twitter tired! HA! lol ,positive
@mmitchelldaviss I LOVE YOU  &lt;33333 .,positive
"@SashaGrey today has been a very cloudy day, loooove it!! ",positive
"@PGALC why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com ,it will help relieve your stress ",positive
@Cause4Conceit And I luv it!! But I'm very hurt that only Sam Goody had the album in my city and they sold out!! ,negative
It's just not cool. ,negative
@HanaStephenson Yes  Would you follow me? that would be cool  ;) xoxo,positive
@ocado didn't bring my sushi  Friday night is no longer sushi night   ,negative
"Come on, life. Give me another surprises. ",positive
@aniskywalker I've been a fan since the first album and heard such great reviews of their concerts. Hopefully I'll get the chance again.. ,negative
@janelle30 Or &quot;there&quot; - whatever.  It's bloody early! But insomnia = fresh blueberry muffins for breakfast. Mmm!,positive
@assenavdew  Sweet dreams ,positive
"oooww, neck is cramping. ",negative
home from work.Looong! cooking dinner for the roomies tonight  then afew drinks at Mon's. more work tomorrow. 100% from a mystery shopper!,positive
@sabihkhan Ack! Torture. No one should be required to work after 50 C! - But 49.9 C is okay ,positive
@Japanknees awww me can make it together ,positive
Some times the time stops moving it looks like it has been several days when it has been just 15 hours and something since I got going ,negative
@PopWuping that's great! do share if you find some pop skins for netbooks as well ,positive
Not feeling so good  so a really lazy sunday today!,negative
my iPod is officially dead  http://ff.im/3wmcq,negative
@angieeLARHH hahaha lol yeah but its true ,positive
I wouldn't be able to make it with out this one person! Happy Mother's Day mommy!! ,positive
the puppies are crying and trying to trick me into setting them free!!! ,negative
@edieeee that's cause green day freakin pwns ,positive
"@chakaxd Aww, thanks for the #followfriday shout-out, Carrie. ",positive
"Gotta do that more often, I don't spend enough time with my family ",negative
"there was a thungerstorm? dammit, missed it ",negative
"@NinjaLikesCheez *tears* video games = death.  @damnELECTRIC if you send me the money, I so would, but i'm hella broke and up at 2:15am.  ",negative
Go to myspace &amp; search Alyssa Noelle &amp; Go to her page &amp; listen to her..She sounds like an angel  Oh yeah while your there send a friend..,positive
"Good morning, (it is for ten more minutes anyway!) Exercised;ellipitical trainer +weights,feeling slightly more cheerful, sun is shining ",positive
i went i went   damn its hard to breath when its hot out! im out of shape damn it! tomorrow i start p90x ... lets see how long that lasts,positive
@Jason_Manford figuring that out has just ruined my childhood. ,negative
"I'm Off now, homework i should have done aaaages ago,     bye twitter. ",positive
"on the phone with my man , some tv then beed , night night twitter buddie xox ",positive
@Camberlyanne yes i have.. i was gut punched ,negative
@trell_thms LOL...im sorry! U have too many hrs left..im not even gonna count! HA okay thats it..im sorry ,negative
Good Morning Twitterverse!!! Just woke up with pancakes on the brain! That's a mess right!  lol,negative
@mitchelmusso June 2nd ,positive
@rosatti bummer your internet wasn't cooperating last night ,negative
"Listen to the acoustic tracks we recorded backstage @ Rockness. Tonight on Radio 1, Vic Galloway, 12midnight - 2am. I'll be asleep then ",negative
@ninthspace i believe so ,positive
Why does everything remind me of what I'm trying so hard not to think about? An old eye exam bill... Wow. ,negative
@thecosmicpope haha my flight control high score is now 211 ,positive
Working on Vanessa Hudgens' art work. ,positive
getting ready for work...I'm tired of smelling like fries and looking like I had a fight with a milkshake!! (No not McDonald's hun)  ,negative
"@UltraMegaJess awwww, byyyyeeeee ",negative
thinks it's lame that Twitter won't let me use my normal username because of their dumb character limit.  I am now farmtownkitty LOL,negative
@stuartv1 LOL I thought I would join up as the Russians ,positive
@ikasperr so you sleep when ur bored? i read or something xD and look at me on my way to 1000 tweets ,positive
@BeckyFearns hahaha :') okay.. i hopeee you loooose  oh and i pre orderd new jb album  and burnin up book and rolling stone posterr  x,positive
SNOW!! oh please! its almost summer..c'mon!!! ,negative
"@ludaintulsa thanks tulsa bug, u r back home safely too ",positive
"Just got out of the shower  I was falling asleep it was funny. Ahaha. Well time for bed , goodnight tweeters (:",positive
"Going to bed now, I guess. Nighty night world... even though it's almost 4AM. ",positive
is still a little sick and doesnt really feel like going to work tomorro ,negative
I HATE YOU @KEANUDY YOU FREAKNIG SUCK. I GREETED HIM TOO. ,negative
At texas de brazil! Eating picanha ,positive
thinks twitter is GAY!!  http://twurl.nl/vzk1hv,positive
@DeniseMcClain Too true! He played a real prick on MI5 - loved it  He was even worse than House ,positive
@TheAnnihilatrix ,negative
"@jnyemb oh no way, you can't do that! Sooo unfair ",negative
"Got a chicken salad #chamlunch which is pretty tasty, but my wooden fork just snapped ",negative
@TheRaeRae  Dads are sometimes so dumb.,negative
"@gemmamcnaught1 NNNNOOOOOOO!!! i think its actually working for me now,, you just have to refresh it about 5 times then itll work ",positive
"@beckinelson  oh god!  ..friends like that, arn't really friends! stick with us TJ girrrlllsss. haha. &lt;3",negative
Really annoyed - the song I thought I made up is apparantly a real song. My brother walked in &amp; recognised it straight away ,negative
"@eef_c I told Maaike why I'm doing it, it's a valid reason, lol. I apologize if it floods your twitter  #BSB",positive
@Neha1989 they stopped @ mechanical  A7 comes aft that .. keepin fingers crossed for 2mor !,negative
@Anusual Ooooh..the tounge wali girl..:p..howdy... ,positive
Friday nights are so boring when the boyfriend is working late and then I have to work at 7:30 on Saturday mornings ,negative
"@xsugarrush (CONT.) problem. Please Becky. Stop doing it. If your mom won't listen, I will. Just please don't sut yourself! ",negative
is at the house ,positive
@Rosental  Porto is incredibly beautiful.,positive
@ankurgoel14 haha... thank you ! ..all that policy research is getting to head. ,positive
Goodnight. Up early... Work 8-7 ,negative
@lcarmell21 hi friend...long time no talk   how are u???,negative
"@Jon_Favreau Now that I now you're an owner, I'll try it out! There's one here in Roseville, CA! ",positive
why dont we have cool mylar/foil balloons? ,negative
@nicolerichie I agree....no heat here ,positive
Trying to fight the urge to scratch whatever is on my chin. ,negative
@mileycyrus you are my inspiration to become an actor.  your the best  love ya and I hope to work with you someday,positive
this is my first state of origin for about 4-5 years. didn't see it whilst o/s. but every time I watch Qld lose  will c if curse is broken,negative
"Saturday morning, sun is shining and we're off to the beach ",positive
VMS is featuring Zee Avi. http://www.videomusicsunday.com/zee-avi/. So...I'm a day early. ,positive
@Acousticlv i know! none of my friends want to pay for them though  i dont even think ill make it to warped! so sad.,negative
Goin 2 bed happy .... Found my long lost cousin! ,positive
@surenmehla thnx 4 appreciating.. ,positive
Morning. Phoning the rescue centre today to get 3 more hens  After that got to find a dress for my brothers wedding!! Oh &amp; a buddha!!,positive
need to go for a run  cant be bothered!!!,negative
"@nikki_morris lol- was after a couple last night, and i was trying to educate a few mates on the power of Twitter- twas a bad example ",positive
I'm so lovin' this kid right here  http://video.yahoo.com/watch/5193659/13725558,positive
the sleepover was fun  and now im eating maltesers,positive
@LucyBowen sooo excited about seeing actual mcfly @dougiemcfly  @dannymcfly @tommcfly and @mcflyharry! i miss @mcflyharry 's tweets ,negative
@Ren07 is ignoring me ,negative
Is hangin in Civic with the Dare boy.... Had a great arvo so far!! ,positive
"Sleepyy !  i duno , i dont wanna go to beeed . ",negative
my sunburn is much much better today. trying to drink a lot of water so i stay hydrated!! ,positive
@pinpoint_uk i recognise this one   (pinpoint live &gt; http://ustre.am/2wLS),positive
@greggarbo COME too jerseyy I'm too sick to go to nyyy ,negative
has no more time to open her laptop and surf the net. Just updating through my itouch ,negative
nothing to do! ,negative
I'm starting to feel super sick.  Why oh why do I have to work all night??,negative
@DerekSanders I agree ,positive
T-minus 4.5 hrs till T Day. Tap dancing day that is  First performance at 3 pm-I'm considering it my last rehearsal before the big show!,positive
i'm feeling so sad  why McFly? hahaha,negative
reading the island of red earth by elizabeth haran... i don't rlly lk it but ive 2 read it 4 skool  by the way school's starting in on ...,negative
@eisen yes but you recommended it! my twitterfall is hanging ,negative
@donnyeffrien Haha. So did JR today  Susan Boyle is really getting some publicity.,positive
#mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany ,positive
@BrittGoosie aww -huggles- you are a bit of a klutz. Hope you aren't too damaged from the fall ,negative
My boys birthday today. He's now 12. I'm starting to feel old! ,negative
Just got like a million screen caps from the t4 thing and my ipod is taking ages to sync.. ,negative
@nickybyrneoffic are westlife definently coming back? ive been to every concert in glasgow and last year got first row for the first time ,positive
"BTW, congrats to my lil sister, who graduated high school last week ",positive
"http://twitpic.com/6plpt - after seeing Love last night, it was so good and the tickets were amazing thank you ",positive
I finally signed up on @ rotocasted. Happily adding to my Collection n Wishlist but am annoyed the site only shows up properly on Safari ,negative
no no no     I've read twilight story in wiki : the girl will not turned into vampire   WTF,negative
hey guys find me on facebook..amy diane walker..my picture is ant n dec..theres only 2 amy diane walkers on facebook am easy to find x ,positive
@Barnum78 I don't have Hold On... wanna pick another one? I'm sorry ,negative
Exam is done. Hopefully I passed... or maybe the marks will be curved. Stressful and lame. ,negative
Never went 2 sleep...  and i got class at 2... i need 2 do dis homework...errrr,negative
@MzDeDaze no i havent ,negative
"going to sainsburys n then cutteslowe after ,by the way this message is sent through txt not web  x",positive
"@setmajer i kinda wish you looked like that normally, actually. apart from the wack expression. the eyes are fucking COOL. ",positive
I listen music &quot;supreme court &amp; feindflug-Selbstjustiz&quot; i luv this song although make me feel sad but is a great song yeaaahh...  hahaha,negative
"Moved to the new workplace, now I have two. ItÂ´s a bit lonely, but IÂ´ll bring my juggling balls to keep me company ",positive
Bowling again ,positive
roll right over ,positive
"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",negative
"This playlist of Indonesian musicians in my iPod is rlly rlly nice... Tompi, The Groove, Maliq, 21st Night, Sister Duke, etc. No alay thx ",positive
@chrissy i like this more than facebook. kagamu didto! haha ,positive
@pcdmelodyt aww poor Melody. this really sucks. hope you'll get better soon. ,negative
@Tsali that's not good  bad dryer!,negative
@tiffantastic Oh!  I hope you are okay.  ,positive
intends to overdose on asparagus tonight ,positive
@shortstackband i got one  was so happy.,positive
"papa's house for the dayyy, texts would be cute ",positive
the concert was great yesterday. we had so much fun  thanx to everyone who came! ,positive
Almost time to roll out.....Korea here I come ,positive
Cheifs beat the 'Canes 16-8! Top of the table! Wooo! ...and up go the Sky Sport Virtual Rugby points. ,positive
Tweetdeck was insisting that even tweets without '@' in them were unable to be delivered because 'recipient not following you'.  ,negative
"@OLMMark Yeah, just wrote something. Just published it, actually. Have a third glass of wine left. Bed soon, I guess.  How are ya?",positive
Haha! 5:22 in the morning and I'm taking pictures.  Love taking picturesssss!,positive
"No, I didn't leave you Jess.  I'm never gonna leave you. Just gimme a sec... I'm sorry. ily",negative
"hopefully, this week is a good week. &amp; then, we're seniors! ",positive
i'm gonna watch the movie awards. ,positive
@g_power I thought so too ,positive
She Loves Everybody: Chester French ,positive
"Goood Morning, Twitstars  Happy Tuesday.",positive
wants a bbq bacon double cheeseburger with mayo. mmmmmm ,positive
@SCottNYdam:  Hope you're mending up well.  I look forward to seeing you buzzing around France soon.  ,positive
Everything seems so much clearer on a Sunday morning without a hangover ,positive
@casualjim and what do you like to use? As for myself I hate SourceGear Vault and dream about SVN but these are only dreams ,negative
I just too my first breathalizer and passed. Yessss! ,positive
"sport in 2nd period today, ran 3 k after school, and now going for a walk ! ugh too much excercise ",negative
"@Suzanne_McLeod No prob, blitzed it on FB too. ",positive
"We have the best girl crew, 90% are here on the west coast...10% are back home--i miss that 10%  @brynnfoley @danielleguizio",negative
Is @ work thinking about magarita's!! Damn still over 1 hour to go!! I need a change like yesterday ,negative
is at SATS working out.. looking forward to tonight  yey!,positive
@BernNotice not sure. I should be there soon though so I'll let u know! ,positive
groggy. leaving now. ,positive
"I am saving for a Ipod Touch, a 1TB external and a RAM upgrade. No more morning coffees ",positive
I ate too much biscuts n gravy  I'm gonna puke.. Well not really. But.. Bleh  gross,negative
"@BrennaFender I saw that!  It really does look just like it, lol.",positive
"@iluvthembolts32 omg their stage is gonna be so amazing and there r lasers and u have to see it sometime, it was soooooooo amazing ",positive
@unclechet I &lt;3 kitties.  So cute ,positive
 i have to start studying for finals,negative
"You're welcome  @YonghoShin I jst finished Think &amp;Grow Rich, too.Will start to read it again straight away..might have missed smthing, lol",positive
I have to say that I'm so depressed today that we're not heading to boston...especially since I had sweet dreams.  ,negative
"watching castle, ahaha its good ",positive
"@forcystus arrrgh, at least you got into stats.  i failed diagnostic exam so i lost my spot. ;_;",negative
Listening to it again .. in some way this song reminds me of Bollywood songs.  Bollywood songs are also greeeat. ,positive
@wantit would that be a television you have been watching? bah humbug. ,positive
My brother must hate me. He didn't answer his phone  and he didn't call me back. Either that or he's sleeping or at work. ;),negative
"@nichil, @diandraanandipa, @moncil GOOD LUCK BUDDIES ",positive
"@Antwoinne good morning, ur up early. I called u back y'day. I was all happy then u didn't answer ",negative
made coq au vin for meself and twiddled me thumbs all day! Everyone's left me ,negative
@CharityIdeas you speak mandarin!!  i'm impressed!! ,positive
good mornin twitdolls .. oh no! rain again ,negative
Gotta unpack &amp; sort out all the stuffs from yesterday.I desperately need a new makeup bag/box.And oso throw away sum old junks! ,negative
Getting some sun today. Just not in the way I had hoped ,negative
@JulieTheBlogger Happy Birthday! Have a GREAT year. Enjoy that Macbook. Right now I have iPhone envy. ,negative
"Oh twitter updates by txt, now we're talking ",positive
@LadyEcclesxX what? and yes i will make sure there is at least 10 ,positive
Shit! I lost my HK debit card ,negative
"@GeoffDicks Morning! Had pleasant dream's, then had 2 wake up.  what's your plans 2day?? ",negative
fight prop 8.  #rejectprop8.,negative
"lol she is definatley insane,if you couldnt tell from the start then you wernt paying much attention ppl!! ",positive
"@thecomicproject Yes, that would be very interesting to watch. in T20 no one can be called Minnows ",positive
"@KhloeKardashian i'm glad everything went ok at the show, Khloe! i'm from italy and i couldn't call u  what the prefix numba 2 call there?",negative
"Oh boy... Beer, bbq, beats all morning .. And afternoon.. Breaking down sound, on to the next show... ",positive
"@taylor_blue omigosh, just saw the pic. That's just... that's just sooo wrong. ",negative
"@TastefulCupcake Can't, I have an online test!! ",negative
great night (lovin' the summer life)...off to a grad party!!  work starts tomorrow =/,positive
"Went to Angels&amp;Demons last night, a good movie, but you don't get very happy after seeing it. And HarryPotter6 is almost there  (finally)!",positive
I just hit my head on the ceiling on the staircase. That was stupid. And it hurt ,negative
okay so I'm at work and I totally threw up!  ,negative
Another hello to fellow artists: @elwoood @detailfreak @lizzy1e! ,positive
@AmberCadabra I know WHO you mean   And WHO is the one with the dirty mind?  I still play that Justin Timberlake song you posted ,positive
There was no one in the building last night  No guests...no breakfast   Oh well...today we have guests...so tomorrow there shall be food,negative
Just say NO! ,negative
"people are busy of wanting to see transformers,ive been counting days to see my gf ",negative
@SofiaMB Which idea? Own Teva or open an office?! How fancy... delegado de propaganda mï¿½dica! ,positive
@MrsDDoubleU night                  ~Kamy~,positive
Covering another shop today  Just want to be off working on my chapter... x,negative
and she meant it. and i can't convey how it moves me. i'd believed she doubted me and disagreed with my choices. i'm a fool. ,positive
@Sherif_129 it's not even got many new features for the iPod touch ,negative
@telemekus need??? I believe 5 is the correct number. ,positive
last tonight show with jay  looking forward to conan ,negative
I wonder how long credits take to show up on your online banking? I have chase so who knows... ,negative
"@jesseleemusic http://twitpic.com/6olee - aww, you look so adorable here! you're too photogenic! jealous again. ",negative
@ambermatson I won a 2 month membership to Curves so I'm going to give that a try! ,positive
"@DonnieWahlberg Good news bears repeating, huh?  LOL......Gotta love the crackberry and all it's quirks. ",positive
3 more days. hello finals. goodbye bookbag that is terribly falling apart. happy birthday mother ,positive
I'm talking about them  Come on lions! #lions,positive
I'm starving but can't get out of my room cuz there's an unpleasant guest in the house ,negative
@tonysloan awesome! i'm looking forward to trying it. ,positive
needs to study for my her IELTS exam.. kakapoy!!!  http://plurk.com/p/125ibc,negative
@nan_fischer I wonder if my wife knows I would happily live out my days in the 8 X 16 ft. shack I built in Arkansas in '71 if I could ? ,positive
"@kyndoll you're going to see JB? aww, lucky  I want to go, but I'm broke and there's no way my mom would let me go after paying so much",negative
Honor Society only sang 3 songs? ,negative
"@hummingbird604 if you find out the answer to that, please share it. pretty please. ",positive
@CALMTOOQUIET oh okayyy  thank youuu. you can be the ninang haha,positive
very good performance from SuBo... still don't want her to win though... bring on Diversity!  #bgt,positive
 besides that great graduation day. I finaly made it I'm a highschool graduate ! Moms word .. Chapter close .. Keep pushing foward.,negative
@luke88addis wow you filled my whole page up with @aplusk Is The Twitter King! Now i'm having to go searching for tweets ,negative
Now I'll NEVER win the Hair lottery ,negative
"@markhoppus Is there going to be a New-Brunswick, Canada Drive? lol I live far far away ",negative
"@JeffTefertiller I just realized I didn't put his name on there but he is in the top 10, all 3 guys are very close. So my bad....  ",negative
i LOVE our basement ,positive
is off 2 bed work 2muro gd times nd its derby day  awww mannnn..x,negative
wishing i had marvelous misadventures of flap jack on DVD ,negative
the last game of the brackla footie season rolls around again  what will I do with my Saturdays through the summer?!,negative
@dougiemcfly get well sooon  you'll be fine xxx lemsip all the way!,positive
Transformers 2 commercials send tingly sensations through my entire body! I need me a date. Any takers? ,positive
@syazanaa I'm hungry la.  Healthy food is SO not satisfying.,negative
@koushikpathak networkin website for business ? Join www.myvinci.net !!! ,positive
"WERE GOOD NOW KTHANX  obtw, go to justins show. http://www.blogtv.com/people/justinTR",positive
Sticky and Sweet Tour Diary ( Dance Moments) http://bit.ly/hBfXB   Hope you guys like ,positive
"@S60mobi No no, I'm *not* going  #nokiaworld (Wish I was though)",negative
@berniegrace hehe good one ,positive
@PAEDR WHOAAAAA UR BRO (Y) &amp;&amp;WHY TTSH AGN?!? ,negative
"@jrjallcorn thanks. a little bit better today, actually washed hair + got cleaned up. the burn still looks terrifyingly bad, though. ",negative
"made the mistake of going 2 get the mail &amp; opening ltr from mortgage co i dont understand, now i'll never sleep, 2 much worry!!  ",negative
"I loaded TweetDeck today, after @Djalfy was kind enuf to explain but I think its too much for my old computer! Things are crashing! EEK! ",negative
"Refused are so tight, listening to 'Songs to fan the flames of discontent'. Some hardcore shit ",positive
so sad for @taylor_juwig  he does not deserve 10 months of jail,negative
http://bit.ly/13J7A8  uh i need to stock up on these. ,positive
God damn we're all quite emotional right now involving NIN.. it's probably good I let some of it out at the PA show. ,negative
I was just called hipster scum on the street ,negative
today is a beautiful day ,positive
@EA I finally got Boom Blox:Bash Party. Really fun and addicting. I hate that the cursor flips out on me sometimes though ,negative
http://vibejournal.com/jessica_art/ needs a new home ,negative
@VisionaryTress waking up to the sight of you next to me brings a smile to my face  &lt;3,positive
"Handwash Porsche Turbo S, Dumprun with Freddy our F350, BMW M3 Enthusiast Detail &amp; Wax Top Up, Start another car hauler today ",positive
@30daysofbikram Go you!  Only 11 more days to go. Have you tried doing doubles?,positive
One week ago today I was moving out of Hofstra...  so sad. I really miss it.,negative
Nap time. Up in 3hrs. So much fun today ,positive
